id;instrument;brand;model;name;price;image;description
54;Скрипка;Pirastro;"Pirastro Obligato violin SET, E steel ball";"Аккорд (комплект), Струна Ми  шарик";13 352 ;;
55;Скрипка;Pirastro;"Pirastro Obligato violin SET, E loop end, steel";"Аккорд (комплект), Струна Ми петля";13 352 ;;
56;Скрипка;Pirastro;"Pirastro Obligato violin E, ball, steel";"Струна Ми шарик, сталь"; 555 ;;
57;Скрипка;Pirastro;"Pirastro Obligato violin A, aluminum";"Струна Ля, алюминий";1 555 ;;
58;Скрипка;Pirastro;"Pirastro Obligato violin D, silver";"Струна Ре, серебро";1 662 ;;
59;Скрипка;Pirastro;"Pirastro Obligato violin D, silver";"Струна Ре, серебро";1 716 ;;
60;Скрипка;Pirastro;"Pirastro Obligato violin SET, E-ball";"Аккорд (комплект), Струна Ми  шарик";5 441 ;;
61;Скрипка;Pirastro;"Pirastro Oliv violin SET, E-ball end";"Аккорд (комплект), Струна Ми  шарик";25 143 ;;
62;Скрипка;Pirastro;"Pirastro Oliv violin SET, E-loop end";"Аккорд (комплект), Струна Ми петля";25 143 ;;
63;Скрипка;Pirastro;"Pirastro Oliv violin E, ball end, gold steel";"Струна Ми, шарик, позолоченная сталь";2 300 ;;
64;Скрипка;Pirastro;"Pirastro Oliv violin E, loop end, gold steel";"Струна Ми, петля, позолоченная сталь";2 300 ;;
65;Скрипка;Pirastro;"Pirastro Oliv violin A, gut, aluminum";"Струна Ля, алюминий";3 515 ;;
66;Скрипка;Pirastro;"Pirastro Oliv violin D, gut, gold, alu";"Струна Ре, алюминий, золото";8 306 ;;
67;Скрипка;Pirastro;"Pirastro Oliv violin G, gut, gold, silver";"Струна Соль, серебро, золото";11 017 ;;
68;Скрипка;Pirastro;"Pirastro Oliv violin D, gut, silver";"Струна Ре, серебро";4 664 ;;
69;Скрипка;Pirastro;"Pirastro No.1 violin E, ball end, steel, chrome steel";"Струна Ми, шарик, сталь";1 757 ;;
70;Скрипка;Pirastro;"Pirastro No. 1 violin E, steel, chrome steel, loop";"Струна Ми петля, сталь";1 757 ;;
71;Скрипка;Larsen;"Larsen Aurora violin SET, E-ball end (LAV5521, LAV5522, LAV5523, LAV5524)";"Аккорд, струна Ми шарик";5 221 ;;
72;Скрипка;Larsen;"Larsen Aurora violin, E-ball end chrome steel/carbon";"Струна Ми шарик, карбон, сталь"; 734 ;;
73;Скрипка;Larsen;"Larsen Aurora violin, A synthetic/aluminium";"Струна Ля, синтетика, алюминий";1 203 ;;
74;Скрипка;Larsen;"Larsen Aurora violin, D synthetic/aluminium";"Струна Ре, синтетика, алюминий";1 411 ;;
;Скрипка;Larsen;"Larsen Aurora violin, D synthetic/silver";"Струна Ре, синтетика, серебро";1 537 ;;
;Скрипка;Larsen;"Larsen Aurora violin, G synthetic/silver";"Струна Соль, синтетика , алюминий";1 882 ;;
;Скрипка;Larsen;Larsen Il Cannone violin Direct & Focused SET;Аккорд (комплект);11 474 ;;
;Скрипка;Larsen;"Larsen Il Cannone violin SET (LI5521, LI5522, LI5523, LI5524)";Аккорд (комплект);9 858 ;;
;Скрипка;Larsen;"Larsen Il Cannone violin SET with A warm & broad (LI5521, LI5522WB, LI5523, LI5524)";Аккорд (комплект);9 858 ;;
;Скрипка;Larsen;Larsen Il Cannone Soloist violin Direct & Focused SET;;11 474 ;;
;Скрипка;Larsen;"Larsen Il Cannone Soloist violin SET (LIS5521, LIS5522, LIS5523, LIS5524)";;9 849 ;;
;Скрипка;Larsen;"Larsen Il Cannone Soloist violin SET with A warm & broad(LIS5521, LIS5522WB, LIS5523, LIS5524)";;9 849 ;;
;Скрипка;Larsen;"Larsen Il Cannone Soloist violin E, carbon steel";;1 163 ;;
;Скрипка;Larsen;"Larsen Il Cannone violin E, carbon steel 0,28";;1 163 ;;
;Скрипка;Larsen;"Larsen Il Cannone Soloist violin A Direct & Focused, synthetic/alu";;3 210 ;;
;Скрипка;Larsen;"Larsen Il Cannone Soloist violin A, synthetic/alu";;2 730 ;;
;Скрипка;Larsen;"Larsen Il Cannone Soloist violin A, synthetic/alu, warm and broad";;2 730 ;;
;Скрипка;Larsen;"Larsen Il Cannone Soloist violin D Direct & Focused, synthetic/silver";;3 439 ;;
;Скрипка;Larsen;"Larsen Il Cannone Soloist violin D, synthetic/silver";;2 921 ;;
;Скрипка;Larsen;"Larsen Il Cannone Soloist violin G Direct & Focused, synthetic/silver";;3 600 ;;
;Скрипка;Larsen;"Larsen Il Cannone Soloist violin G, synthetic/silver";;3 056 ;;
