id;instrument_id;instrument;brand;model;name;price;image_folder;image;description
51;violin;Скрипка;Pirastro;"Pirastro Obligato violin D, aluminum";"Струна Ре, алюминий";"4496,31";;;
52;violin;Скрипка;Pirastro;"Pirastro Obligato violin E, ball, steel";"Струна Ми шарик, сталь";"927,99";;;
53;violin;Скрипка;Pirastro;"Pirastro Obligato violin E, loop, steel";"Струна Ми петля, сталь";"927,99";;;
54;violin;Скрипка;Pirastro;"Pirastro Obligato violin SET, E steel ball";"Аккорд (комплект), Струна Ми  шарик";"14912,1";;;
55;violin;Скрипка;Pirastro;"Pirastro Obligato violin SET, E loop end, steel";"Аккорд (комплект), Струна Ми петля";"14912,1";;;
56;violin;Скрипка;Pirastro;"Pirastro Obligato violin E, ball, steel";"Струна Ми шарик, сталь";"619,92";;;
57;violin;Скрипка;Pirastro;"Pirastro Obligato violin A, aluminum";"Струна Ля, алюминий";"1736,91";;;
58;violin;Скрипка;Pirastro;"Pirastro Obligato violin D, silver";"Струна Ре, серебро";"1855,98";;;
59;violin;Скрипка;Pirastro;"Pirastro Obligato violin D, silver";"Струна Ре, серебро";"1916,46";;;
60;violin;Скрипка;Pirastro;"Pirastro Obligato violin SET, E-ball";"Аккорд (комплект), Струна Ми  шарик";"6076,35";;;
61;violin;Скрипка;Pirastro;"Pirastro Oliv violin SET, E-ball end";"Аккорд (комплект), Струна Ми  шарик";"28079,73";;;
62;violin;Скрипка;Pirastro;"Pirastro Oliv violin SET, E-loop end";"Аккорд (комплект), Струна Ми петля";"28079,73";;;
63;violin;Скрипка;Pirastro;"Pirastro Oliv violin E, ball end, gold steel";"Струна Ми, шарик, позолоченная сталь";"2568,51";;;
64;violin;Скрипка;Pirastro;"Pirastro Oliv violin E, loop end, gold steel";"Струна Ми, петля, позолоченная сталь";"2568,51";;;
65;violin;Скрипка;Pirastro;"Pirastro Oliv violin A, gut, aluminum";"Струна Ля, алюминий";"3925,53";;;
66;violin;Скрипка;Pirastro;"Pirastro Oliv violin D, gut, gold, alu";"Струна Ре, алюминий, золото";"9276,12";;;
67;violin;Скрипка;Pirastro;"Pirastro Oliv violin G, gut, gold, silver";"Струна Соль, серебро, золото";"12303,9";;;
68;violin;Скрипка;Pirastro;"Pirastro Oliv violin D, gut, silver";"Струна Ре, серебро";"5208,84";;;
69;violin;Скрипка;Pirastro;"Pirastro No.1 violin E, ball end, steel, chrome steel";"Струна Ми, шарик, сталь";"1961,82";;;
70;violin;Скрипка;Pirastro;"Pirastro No. 1 violin E, steel, chrome steel, loop";"Струна Ми петля, сталь";"1961,82";;;
71;violin;Скрипка;Pirastro;Pirastro Evah Pirazzi violin SET;Аккорд (комплект);"5953,5";;;
72;violin;Скрипка;Pirastro;"Pirastro Evah Pirazzi violin SET, E-ball end";"Аккорд (комплект), Струна МИ шарик";"14269,5";;;
73;violin;Скрипка;Pirastro;"Pirastro Evah Pirazzi violin SET, E-loop";"Аккорд (комплект), Струна Ми петля";"14269,5";;;
74;violin;Скрипка;Pirastro;"Pirastro Evah Pirazzi violin SET, E- loop end, gold steel";"Аккорд (комплект), Струна Ми петля, позолоченная сталь";"15214,5";;;
75;violin;Скрипка;Pirastro;"Pirastro Evah Pirazzi Platinum violin E, removable ball, platinum";"Струна Ми,  платина";"2623,32";;;
76;violin;Скрипка;Pirastro;"Pirastro Evah Pirazzi violin C, silver";"Струна До, серебро";"6475,14";;;
77;violin;Скрипка;Pirastro;"Pirastro Evah Pirazzi violin E, ball end";"Струна Ми, шарик";"585,9";;;
78;violin;Скрипка;Pirastro;Pirastro Evah Pirazzi violin A;"Струна Ля, алюминий";1701;;;
79;violin;Скрипка;Pirastro;Pirastro Evah Pirazzi violin D;Струна Ре;"1818,18";;;
80;violin;Скрипка;Pirastro;"Pirastro Evah Pirazzi violin set, E- ball end, gold steel";"Струна Ми, шарик, позолоченная сталь";"15214,5";;;
81;violin;Скрипка;Pirastro;"Pirastro Evah Pirazzi violin G, silver";"Струна Соль, серебро";"1874,88";;;
82;violin;Скрипка;Pirastro;"Pirastro Evah Pirazzi violin E, ball end, steel";"Струна Ми, шарик, сталь";"927,99";;;
83;violin;Скрипка;Pirastro;"Pirastro Evah Pirazzi violin E, loop end";"Струна Ми, петля";"927,99";;;
84;violin;Скрипка;Pirastro;"Pirastro Evah Pirazzi violin E, ball, gold steel";"Струна Ми, шарик, позолоченная сталь";"1872,99";;;
85;violin;Скрипка;Pirastro;"Pirastro Evah Pirazzi violin E, loop, gold steel";"Струна Ми, петля, позолоченная сталь";"1872,99";;;
86;violin;Скрипка;Pirastro;"Pirastro Evah Pirazzi violin A, aluminum";"Струна Ля, алюминий";"3460,59";;;
87;violin;Скрипка;Pirastro;"Pirastro Evah Pirazzi violin D, silver";"Струна Ре, серебро";"4602,15";;;
88;violin;Скрипка;Pirastro;"Pirastro Evah Pirazzi violin G, silver";"Струна Соль, серебро";"5280,66";;;
89;violin;Скрипка;Pirastro;"Pirastro Flexocor Permanent violin SET, E-ball";"Аккорд (комплект), Струна Ми  шарик";"14326,2";;;
90;violin;Скрипка;Pirastro;"Pirastro Flexocor Permanent violin SET, E-loop";"Аккорд (комплект), Струна Ми петля";"14326,2";;;
91;violin;Скрипка;Pirastro;"Pirastro Flexocor Permanent violin E, ball, steel";"Струна Ми шарик, сталь";"927,99";;;
92;violin;Скрипка;Pirastro;"Pirastro Flexocor Permanent violin E, loop, steel";"Струна Ми петля, сталь";"927,99";;;
93;violin;Скрипка;Pirastro;"Pirastro Flexocor Permanent violin A, wire core, aluminum";"Струна Ля, алюминий";"3657,15";;;
94;violin;Скрипка;Pirastro;"Pirastro Flexocor Permanent violin D, wire core, titan";"Струна Ре, титан";"4870,53";;;
95;violin;Скрипка;Pirastro;"Pirastro Flexocor Permanent violin G, wire core, silver";"Струна Соль, серебро";"4870,53";;;
96;violin;Скрипка;Larsen;"Larsen Aurora violin SET, E-ball end (LAV5521, LAV5522, LAV5523, LAV5524)";"Аккорд, струна Ми шарик";5 221 ;;;
97;violin;Скрипка;Larsen;"Larsen Aurora violin, E-ball end chrome steel/carbon";"Струна Ми шарик, карбон, сталь";734;;;
98;violin;Скрипка;Larsen;"Larsen Aurora violin, A synthetic/aluminium";"Струна Ля, синтетика, алюминий";1 203 ;;;
99;violin;Скрипка;Larsen;"Larsen Aurora violin, D synthetic/aluminium";"Струна Ре, синтетика, алюминий";1 411 ;;;
100;violin;Скрипка;Larsen;"Larsen Aurora violin, D synthetic/silver";"Струна Ре, синтетика, серебро";1 537 ;;;
101;violin;Скрипка;Larsen;"Larsen Aurora violin, G synthetic/silver";"Струна Соль, синтетика , алюминий";1 882 ;;;
102;violin;Скрипка;Larsen;Larsen Il Cannone violin Direct & Focused SET;Аккорд (комплект);11 474 ;;;
103;violin;Скрипка;Larsen;"Larsen Il Cannone violin SET (LI5521, LI5522, LI5523, LI5524)";Аккорд (комплект);9 858 ;;;
104;violin;Скрипка;Larsen;"Larsen Il Cannone violin SET with A warm & broad (LI5521, LI5522WB, LI5523, LI5524)";Аккорд (комплект);9 858 ;;;
105;violin;Скрипка;Larsen;Larsen Il Cannone Soloist violin Direct & Focused SET;Аккорд (комплект);11 474 ;;;
106;violin;Скрипка;Larsen;"Larsen Il Cannone Soloist violin SET (LIS5521, LIS5522, LIS5523, LIS5524)";Аккорд (комплект);9 849 ;;;
107;violin;Скрипка;Larsen;"Larsen Il Cannone Soloist violin SET with A warm & broad(LIS5521, LIS5522WB, LIS5523, LIS5524)";Аккорд (комплект);9 849 ;;;
108;violin;Скрипка;Larsen;"Larsen Il Cannone Soloist violin E, carbon steel";"Струна Ми карбон, сталь";1 163 ;;;
109;violin;Скрипка;Larsen;"Larsen Il Cannone violin E, carbon steel 0,28";"Струна Ми карбон, сталь";1 163 ;;;
110;violin;Скрипка;Larsen;"Larsen Il Cannone Soloist violin A Direct & Focused, synthetic/alu";"Струна Ля, синтетика, алюминий";3 210 ;;;
111;violin;Скрипка;Larsen;"Larsen Il Cannone Soloist violin A, synthetic/alu";"Струна Ля, синтетика, алюминий";2 730 ;;;
112;violin;Скрипка;Larsen;"Larsen Il Cannone Soloist violin A, synthetic/alu, warm and broad";"Струна Ля, синтетика, алюминий";2 730 ;;;
113;violin;Скрипка;Larsen;"Larsen Il Cannone Soloist violin D Direct & Focused, synthetic/silver";"Струна Ре, синтетика, серебро";3 439 ;;;
114;violin;Скрипка;Larsen;"Larsen Il Cannone Soloist violin D, synthetic/silver";"Струна Ре, синтетика, серебро";2 921 ;;;
115;violin;Скрипка;Larsen;"Larsen Il Cannone Soloist violin G Direct & Focused, synthetic/silver";"Струна Соль, синтетика , серебро";3 600 ;;;
116;violin;Скрипка;Larsen;"Larsen Il Cannone Soloist violin G, synthetic/silver";"Струна Соль, синтетика , серебро";3 056 ;;;
117;violin;Скрипка;Larsen;"Larsen Il Cannone Gold violin SET (LI5521G, LI5522G, LI5523G, LI5524G)";"Аккорд (комплект).
New Il Cannone Gold для скрипки: создано из высококачественного золота для солиста, ищущего уникальную силу и прочность.

Представляем первую в мире золотую струну D в идеальном сочетании с нашей золотой G, выполненную из золота высшего качества в дизайне струн. Создано для долговечности, сочетая силу с чувствительностью. Для нового Il Cannone Gold мы объединили высококачественные D и G с нашей эксклюзивной углеродистой сталью E и A-намотанной с точной прокатной алюминиевой проволокой. A, D и G построены на наших новейших и самых современных материалах сердечника с всемирно признанным исключительным качеством, подписанными, запечатанными и стабильно поставляемыми Larsen Strings.";54 527;;;
118;violin;Скрипка;Larsen;Larsen Il Cannone Silver violin A synthetic/aluminum;"Струна Ля, синтетика, алюминий";4 940 ;;;
119;violin;Скрипка;Larsen;Larsen Il Cannone Silver violin D Synthetic/silver;"Струна Ре, синтетика, серебро";1 378 ;;;
120;violin;Скрипка;Larsen;Larsen Il Cannone Silver violin E carbon steel;"Струна Ми карбон, сталь";1 378 ;;;
121;violin;Скрипка;Larsen;Larsen Il Cannone Silver violin G Synthetic/silver;"Струна Соль, синтетика , серебро";5 515 ;;;
122;violin;Скрипка;Larsen;"Larsen Il Cannone Silver violin SET (LI5521S, LI5521CS, LI5522S, LI5523S, LI5524S)";"• Silver E — мощный, смелый и серебристый
• Caprice E — сверкающий, сосредоточенный и блестящий
Такой двухвариантный подход позволяет скрипачам адаптировать своё звучание под свой инструмент,
предлагая большую универсальность в репертуаре и стилях игры.";18 494 ;;;
123;violin;Скрипка;Larsen;"Larsen violin SET, E-ball end (L5521, L5522, L5523, L5524)";Аккорд (комплект);9 422 ;;;
124;violin;Скрипка;Larsen;"Larsen violin SET, E-loop end (L5521L, L5522, L5523, L5524)

";"Аккорд, струна Ми петля";9 422 ;;;
125;violin;Скрипка;Larsen;"Larsen violin E, carbon steel, loop end, strong

";"Струна Ми карбон, сталь, петля"; 847 ;;;
126;violin;Скрипка;Larsen;"Larsen violin E, carbon steel-gold winding, ball end";"Струна Ми карбон, сталь-позолота, шарик";1 641 ;;;
127;violin;Скрипка;Larsen;"Larsen violin A, nylon core, aluminum";"Струна Ля, синтетика, алюминий";2 646 ;;;
128;violin;Скрипка;Larsen;"Larsen violin A, steel";"Струня Ля, сталь";2 778 ;;;
129;violin;Скрипка;Larsen;"Larsen violin D, nylon core, aluminum wound";"Струна Ре, синтетика, алюминий";2 841 ;;;
130;violin;Скрипка;Larsen;"Larsen violin D, nylon core, pure silver wound";"Струна Ре, синтетика, серебро";2 981 ;;;
131;violin;Скрипка;Larsen;"Larsen violin G, nylon core, pure silver wound";"Струна Соль, синтетика , серебро";3 033 ;;;
132;violin;Скрипка;Larsen;"Larsen Tzigane violin SET, E ball end (LT5521, LT5522, LT5523, LT5524)";"Аккорд, струна Ми шарик";9 696 ;;;
133;violin;Скрипка;Larsen;"Larsen Tzigane violin SET, E loop end, (LT5521L, LT5522, LT5523, LT5524)";"Аккорд, струна Ми петля";9 696 ;;;
134;violin;Скрипка;Larsen;"Larsen Tzigane violin E, tinned steel";"Струна Ми, сталь"; 922 ;;;
135;violin;Скрипка;Larsen;"Larsen Tzigane violin E, loop, tinned steel";"Струна Ми, сталь, петля"; 922 ;;;
136;violin;Скрипка;Larsen;"Larsen Tzigane violin D, synthetic, silver wound";"Струна Ре, синтетика, серебро";3 024 ;;;
137;violin;Скрипка;Larsen;"Larsen Tzigane violin G, synthetic, silver wound";"Струна Соль, синтетика , серебро";3 079 ;;;
138;violin;Скрипка;Larsen;"Larsen Virtuoso violin SET, E ball end (LV5521, LV5522, LV5523, LV5524)";"Аккорд, струна Ми шарик";9 964 ;;;
139;violin;Скрипка;Larsen;"Larsen Virtuoso violin SET, E loop end (LV5521, LV5522, LV5523, LV5524)";"Аккорд, струна Ми петля";9 964 ;;;
140;violin;Скрипка;Larsen;"Larsen Virtuoso violin E, carbon steel, loop end";"Струна Ми карбон, сталь, петля";1 045 ;;;
141;violin;Скрипка;Larsen;"Larsen Virtuoso violin E, carbon steel, removeable ball";"Струна Ми шарик, карбон, сталь";1 045 ;;;
142;violin;Скрипка;Larsen;"Larsen Virtuoso violine A, synthetic core, aluminum";"Струна Ля, синтетика, алюминий";2 761 ;;;
143;violin;Скрипка;Larsen;"Larsen Virtuoso violin D, synthetic core, silver";"Струна Ре, синтетика, серебро";3 045 ;;;
144;violin;Скрипка;Larsen;"Larsen Virtuoso violin G, synthetic core, silver";"Струна Соль, синтетика , серебро";3 117 ;;;
145;violin;Скрипка;;;;;;;
146;violin;Скрипка;;;;;;;
147;violin;Скрипка;;;;;;;
148;violin;Скрипка;;;;;;;
149;violin;Скрипка;;;;;;;
150;violin;Скрипка;;;;;;;
151;violin;Скрипка;;;;;;;
152;violin;Скрипка;;;;;;;
